name,img,threeD,in: Max Height[ft],in: Average Tower Floorplate[sqft],in: Position Index,out: Plaza Analysis Area[sqft],out: Average Daylight Hours Equinox[hr],out: Facade Analysis Area[sqft],out: Area with View[sqft],out: Empire State[sqft],out: Central Park[sqft],out: East River[sqft],out: Daylight Evaluation Score[%]
0000,design_explorer_data/kpf/Images/0000.png,design_explorer_data/kpf/Json/0000.json,644.0,30000.0,5,37775.0,5.154213,488039.896373,185502.64149,57994.83454,88305.723673,50316.07596,84.538333
0001,design_explorer_data/kpf/Images/0001.png,design_explorer_data/kpf/Json/0001.json,658.0,29010.0,5,37775.0,5.154213,491133.204294,188468.947006,58768.16152,89852.377633,52359.426996,85.8025
0002,design_explorer_data/kpf/Images/0002.png,design_explorer_data/kpf/Json/0002.json,686.0,27771.428571,5,37775.0,5.154213,500970.640526,198675.0382,61227.520578,94771.095749,58819.340592,86.541667
0003,design_explorer_data/kpf/Images/0003.png,design_explorer_data/kpf/Json/0003.json,714.0,26318.181818,5,37775.0,5.154213,507438.865417,205523.994125,62844.576801,98005.208195,63297.219412,87.313333
0004,design_explorer_data/kpf/Images/0004.png,design_explorer_data/kpf/Json/0004.json,770.0,24300.0,5,37775.0,5.154213,523938.608555,222217.427817,66969.512585,106255.079764,73861.805275,87.051667
0005,design_explorer_data/kpf/Images/0005.png,design_explorer_data/kpf/Json/0005.json,840.0,21849.056604,5,37775.0,5.154213,538272.874606,236362.576905,70553.079098,113230.509894,87277.21193,86.963333
0006,design_explorer_data/kpf/Images/0006.png,design_explorer_data/kpf/Json/0006.json,672.0,28068.292683,5,37775.0,5.154213,494226.512215,192342.95021,60399.82567,91745.588292,54983.286145,86.4325
0007,design_explorer_data/kpf/Images/0007.png,design_explorer_data/kpf/Json/0007.json,700.0,26902.325581,5,37775.0,5.154213,504063.948448,202367.330631,62859.184728,96664.306408,61100.711857,87.063333
0008,design_explorer_data/kpf/Images/0008.png,design_explorer_data/kpf/Json/0008.json,728.0,25520.0,5,37775.0,5.154213,510532.173339,209027.733126,64476.240951,99898.418854,65797.94958,87.424167
0009,design_explorer_data/kpf/Images/0009.png,design_explorer_data/kpf/Json/0009.json,784.0,23608.163265,5,37775.0,5.154213,527031.916476,225527.476263,68601.176735,108148.290422,75784.156006,87.414167
0010,design_explorer_data/kpf/Images/0010.png,design_explorer_data/kpf/Json/0010.json,854.0,21266.666667,5,37775.0,5.154213,541366.182528,239861.742315,72184.743248,115315.423448,90127.045959,88.041667
0011,design_explorer_data/kpf/Images/0011.png,design_explorer_data/kpf/Json/0011.json,728.0,25840.0,5,37775.0,5.154213,513901.38468,214744.642212,65308.076955,102194.732478,70303.145236,87.524167
0012,design_explorer_data/kpf/Images/0012.png,design_explorer_data/kpf/Json/0012.json,756.0,24561.702128,5,37775.0,5.154213,520369.609571,221212.867103,66925.133178,105428.844923,75047.497212,88.005
0013,design_explorer_data/kpf/Images/0013.png,design_explorer_data/kpf/Json/0013.json,812.0,22800.0,5,37775.0,5.154213,536869.352708,237712.61024,71050.068962,113678.716492,85430.058831,87.9825
0014,design_explorer_data/kpf/Images/0014.png,design_explorer_data/kpf/Json/0014.json,882.0,20614.285714,5,37775.0,5.154213,551203.61876,252046.876292,74633.635475,120845.849517,100467.354283,88.4575
0015,design_explorer_data/kpf/Images/0015.png,design_explorer_data/kpf/Json/0015.json,784.0,23387.755102,5,37775.0,5.154213,526837.834462,230960.892285,69310.899816,109143.449588,83738.883043,87.846667
0016,design_explorer_data/kpf/Images/0016.png,design_explorer_data/kpf/Json/0016.json,840.0,21781.132075,5,37775.0,5.154213,543337.577599,247460.635423,73435.8356,117393.321157,95488.645716,88.18
0017,design_explorer_data/kpf/Images/0017.png,design_explorer_data/kpf/Json/0017.json,910.0,19758.62069,5,37775.0,5.154213,557671.843651,261794.901474,77019.402113,124560.454182,110062.371502,88.55
0018,design_explorer_data/kpf/Images/0018.png,design_explorer_data/kpf/Json/0018.json,882.0,20485.714286,5,37775.0,5.154213,552842.922979,258879.254587,75812.171945,123295.872589,109314.86084,87.878333
